id,text,author
id21923,"However, he knew that he had actually become a somnambulist; for twice at night his room had been found vacant, though with all his clothing in place.",HPL
id15613,For a few minutes I remained wrapped in the profoundest meditation.,EAP
id24887,My parents I never knew.,HPL
id04625,"""I thank you, but all that you mention is nothing to me; on the whole earth there is no comfort which I am capable of receiving.""",MWS
id22620,"He was calmer than I as he forced a large quantity of his fluid into a vein of the body's arm, immediately binding the incision securely.",HPL
id07793,And was I really as mad as the whole world would believe me to be if I disclosed the object of my suspicions?,MWS
id13335,"As he bade me good bye, I bethought me that there might be some difficulty in obtaining access to the premises, and mentioned my fears on this point.",EAP
id24003,"Wild visions, opium engendered, flitted, shadow like, before me.",EAP
id16337,But the fervid facility of his impromptus could not be so accounted for.,EAP
id02730,The house of Jermyn no longer existed.,HPL
id02085,"In its surface were two iron staples, distant from each other about two feet, horizontally.",EAP
id11850,She never for a moment lost sight of her children.,MWS
id15268,"The picture was very vivid for a while, but gradually gave way to a more horrible conception; that of utter, absolute solitude in infinite, sightless, soundless space.",HPL
id15219,Its forest should be our world its garden afford us food; within its walls I would establish the shaken throne of health.,MWS
id11660,"Finally, throwing off his overcoat, he made one spring for the staircase and disappeared.",EAP
id04866,"""But do not you see, Lionel, the drift of our noble friend; a drift, perhaps, unknown to himself, but apparent to me.",MWS
id11572,"His talents and general amiability had recommended him to the notice of the heiress, by whom he seems to have been truly beloved; but her pride of birth decided her, finally, to reject him, and to wed a Monsieur Renelle, a banker and a diplomatist of some eminence.",EAP
id13687,"Old Keziah, he reflected, might have had excellent reasons for living in a room with peculiar angles; for was it not through certain angles that she claimed to have gone outside the boundaries of the world of space we know?",HPL
id27353,"Early in the morning Raymond came to me; intelligence had arrived that Adrian was dangerously ill, and it appeared impossible that his failing strength should surmount the disorder.",MWS
id03717,"It is still spectral, but its strangeness fascinates me, and I shall find mixed with my relief a queer regret when it is torn down to make way for a tawdry shop or vulgar apartment building.",HPL
id23103,"When he went as ambassador to the Northern States of America, he, for some time, planned his entire migration; and went so far as to make several journies far westward on that immense continent, for the purpose of choosing the site of his new abode.",MWS
id20762,And yet I could extract nothing definite from the man.,HPL
id26245,"Fronting him, sixthly and lastly, was situated a singularly stiff looking personage, who, being afflicted with paralysis, must, to speak seriously, have felt very ill at ease in his unaccommodating habiliments.",EAP
id12782,"The spirit of superstition had birth, from the wreck of our hopes, and antics wild and dangerous were played on the great theatre, while the remaining particle of futurity dwindled into a point in the eyes of the prognosticators.",MWS
id20436,"Astounding News by Express, via Norfolk The Atlantic crossed in Three Days Signal Triumph of Mr. Monck Mason's Flying Machine Arrival at Sullivan's Island, near Charlestown, S.C., of Mr. Mason, Mr. Robert Holland, Mr. Henson, Mr. Harrison Ainsworth, and four others, in the Steering Balloon, ""Victoria,"" after a passage of Seventy five Hours from Land to Land Full Particulars of the Voyage The subjoined jeu d'esprit with the preceding heading in magnificent capitals, well interspersed with notes of admiration, was originally published, as matter of fact, in the ""New York Sun,"" a daily newspaper, and therein fully subserved the purpose of creating indigestible aliment for the quidnuncs during the few hours intervening between a couple of the Charleston mails.",EAP
id24537,"The next day all the countryside was in a panic; and cowed, uncommunicative groups came and went where the fiendish thing had occurred.",HPL
id13086,Meanwhile all went on well in London.,MWS
id22736,"Without making any effectual resistance, I suffered myself to be placed between two gentlemen of colossal dimensions; while a third, of a size larger, requesting pardon for the liberty he was about to take, threw himself upon my body at full length, and falling asleep in an instant, drowned all my guttural ejaculations for relief, in a snore which would have put to blush the roarings of the bull of Phalaris.",EAP
id14381,"Then he knew he must go into the past and merge himself with old things, and day after day he thought of the hills to the north where haunted Arkham and the rushing Miskatonic and the lonely rustic homestead of his people lay.",HPL
id24130,"Now, with a simpleton a degree above the first, he would have reasoned thus: 'This fellow finds that in the first instance I guessed odd, and, in the second, he will propose to himself, upon the first impulse, a simple variation from even to odd, as did the first simpleton; but then a second thought will suggest that this is too simple a variation, and finally he will decide upon putting it even as before.",EAP
id14018,After that I went to Sydney and talked profitlessly with seamen and members of the vice admiralty court.,HPL
id20226,"I have been assured that Suky is but a vulgar corruption of Psyche, which is good Greek, and means ""the soul"" that's me, I'm all soul and sometimes ""a butterfly,"" which latter meaning undoubtedly alludes to my appearance in my new crimson satin dress, with the sky blue Arabian mantelet, and the trimmings of green agraffas, and the seven flounces of orange colored auriculas.",EAP
id01885,What inexpressible madness seized me with that thought?,EAP
id10013,Concerning the picture she could give no account.,MWS
id16129,"My confusion of mind prevented me from observing that I began my tour with the wall to the left, and ended it with the wall to the right.",EAP
id00960,The matter was impossible.,EAP
id13071,"Although more than sixteen years had passed since her death nothing had been changed; her work box, her writing desk were still there and in her room a book lay open on the table as she had left it.",MWS
id10026,"It was in truth a diary, as all had thought; and it was couched in a style clearly shewing the mixed occult erudition and general illiteracy of the strange being who wrote it.",HPL
id07876,"If I am in error, he will merely suppose that I have been misled by some circumstance into which he will not take the trouble to inquire.",EAP
id10783,And he would not see that the tints which he spread upon the canvas were drawn from the cheeks of her who sate beside him.,EAP
id04918,"I wished sometimes to shake off all thought and feeling, but I learned that there was but one means to overcome the sensation of pain, and that was death a state which I feared yet did not understand.",MWS
id13217,And thus the ill starred girl died a victim to my senseless rashness.,MWS
id25123,"Henry wished to dissuade me, but seeing me bent on this plan, ceased to remonstrate.",MWS
id04310,"It was not, indeed, difficult to begin a counter attack, for I knew that Joel Manton actually half clung to many old wives' superstitions which sophisticated people had long outgrown; beliefs in the appearance of dying persons at distant places, and in the impressions left by old faces on the windows through which they had gazed all their lives.",HPL
id20740,"Oh How unlike it was to the blue seasons of the south Covered with ice, it was only to be distinguished from land by its superior wildness and ruggedness.",MWS
id13441,"Nothing that I could have imagined nothing, even, that I could have gathered had I credited old Zadok's crazy tale in the most literal way would be in any way comparable to the daemoniac, blasphemous reality that I saw or believe I saw.",HPL
id07662,The effect of this scene of incantation communicated a portion of its power to that which followed.,MWS
id01900,Shall I not then hate them who abhor me?,MWS
id21326,If thrown from the shore a weight would have been attached.,EAP
id04829,"The latter, he had said, was the daughter of a Portuguese trader whom he had met in Africa; and did not like English ways.",HPL
id00498,"He was one of those very few whom fortune favours from their birth; on whom she bestows all gifts of intellect and person with a profusion that knew no bounds, and whom under her peculiar protection, no imperfection however slight, or disappointment however transitory has leave to touch.",MWS
id12789,"I glanced at its face by the moonlight, and then burst into tears as I flung it far away into the ocean.",EAP
id24987,"When I stood on my native hills, and saw plain and mountain stretch out to the utmost limits of my vision, speckled by the dwellings of my countrymen, and subdued to fertility by their labours, the earth's very centre was fixed for me in that spot, and the rest of her orb was as a fable, to have forgotten which would have cost neither my imagination nor understanding an effort.",MWS
id24612,"Shaking off from my spirit what must have been a dream, I scanned more narrowly the real aspect of the building.",EAP
id17083,"I exclaimed, ""I have now found out the secret"" ""What secret?""",MWS
id26694,"Least of all, could it have been that my fancy, shaken from its half slumber, had mistaken the head for that of a living person.",EAP
id10899,A fine fire was blazing upon the hearth.,EAP
id08310,"I will be cool, persevering, and prudent.",MWS
id07232,"""Having prescribed thus a limit to suit its own preconceived notions; having assumed that, if this were the body of Marie, it could have been in the water but a very brief time; the journal goes on to say: 'All experience has shown that drowned bodies, or bodies thrown into the water immediately after death by violence, require from six to ten days for sufficient decomposition to take place to bring them to the top of the water.",EAP
id01347,"I hovered for ever around the walls of its Castle, beneath its enshadowing thickets; my sole companions were my books and my loving thoughts.",MWS
id27484,"A grin was on the face of the monster; he seemed to jeer, as with his fiendish finger he pointed towards the corpse of my wife.",MWS
id24098,"In displaying anxiety for the breath of which he was at present so willing to get rid, might I not lay myself open to the exactions of his avarice?",EAP
id20223,"Mimes, in the form of God on high, Mutter and mumble low, And hither and thither fly; Mere puppets they, who come and go At bidding of vast formless things That shift the scenery to and fro, Flapping from out their Condor wings Invisible Wo That motley drama oh, be sure It shall not be forgot With its Phantom chased forever more, By a crowd that seize it not, Through a circle that ever returneth in To the self same spot, And much of Madness and more of Sin And Horror the soul of the plot.",EAP
id25204,"When in company, sadness would in spite of every effort steal over his features, and he sat absent and mute among the busy crowd that thronged about him.",MWS
id14599,"Idris smiled her thanks, and rose to take leave.",MWS
id27802,"She rose on seeing us enter, and when we were left alone with her, she threw herself at the feet of Elizabeth, weeping bitterly.",MWS
id04547,He could not return if he would.,EAP
id12458,From no particular disposition of the men at one period of a game can we predicate their disposition at a different period.,EAP
id09169,"The writing accompanying this oddity was, aside from a stack of press cuttings, in Professor Angell's most recent hand; and made no pretence to literary style.",HPL
id09657,"After the ceremony was performed a large party assembled at my father's, but it was agreed that Elizabeth and I should commence our journey by water, sleeping that night at Evian and continuing our voyage on the following day.",MWS
id04715,"Gilman's dreams consisted largely in plunges through limitless abysses of inexplicably coloured twilight and bafflingly disordered sound; abysses whose material and gravitational properties, and whose relation to his own entity, he could not even begin to explain.",HPL
id07785,Curtis Whateley of the undecayed branch was holding the telescope when the Arkham party detoured radically from the swath.,HPL
id23255,"It had at first been his hope to find a reagent which would restore vitality before the actual advent of death, and only repeated failures on animals had shewn him that the natural and artificial life motions were incompatible.",HPL
id20382,"Watching my opportunity, when I thought the audience were fully engaged with the opera, I at length caught the eyes of Madame Lalande, and, upon the instant, made a slight but unmistakable bow.",EAP
id12198,"Folks see his three darters a wearin' gold like things as nobody'd never see on 'em afore, an' smoke started comin' aout o' the refin'ry chimbly.",HPL
id11925,"They looked like strips torn off.' Here, inadvertently, Le Soleil has employed an exceedingly suspicious phrase.",EAP
id00292,Will you accompany me?,MWS
id18994,"I resolved to lash myself securely to the water cask upon which I now held, to cut it loose from the counter, and to throw myself with it into the water.",EAP
id27126,"Turning her thoughts this way, I gave them an object which rescued them from insanity.",MWS
id18162,He didn't call it out.,HPL
id09548,"Keep still"" The combined shock of the revelation and of the abrupt command gave me a kind of paralysis, and in my terror my mind again opened to the impressions coming from what Tillinghast called ""beyond"".",HPL
id00898,"In the days of my grandfather there were many; in the days of my father not so many; and now there are so few that I sometimes feel strangely alone, as though I were the last man on our planet.",HPL
id27109,"It was soon after dark, upon this same evening, that Madame Deluc, as well as her eldest son, heard the screams of a female in the vicinity of the inn.",EAP
id21148,"""Still I do not quite understand,"" said Dupin.",EAP
id25200,You can bet that prying strangers ain't welcome around Innsmouth.,HPL
id01039,"He wrote this in a very ancient hand, and when I still hesitated he pulled from his loose robe a seal ring and a watch, both with my family arms, to prove that he was what he said.",HPL
id19616,"The 'Hum Drum,' the 'Rowdy Dow' and the 'Goosetherumfoodle' must look well to their laurels.",EAP
id23109,"Now write ""'Aussi tendre que Zaire' as tender as Zaire French.",EAP
id20212,"An unaccountable, and what I am compelled to consider a magnetic, sympathy of soul for soul, seemed to rivet, not only my vision, but my whole powers of thought and feeling, upon the admirable object before me.",EAP
id01140,"""Sit down, my friend,"" said Dupin.",EAP
id00433,"""And you have now changed all this and you think for the better?"" ""Decidedly.",EAP
id24854,"And I, the nearest kinsman of the Earl of Windsor, was to propose his election.",MWS
id03158,I perceive you have an engagement.,EAP
id02375,"When I first saw you, Mr. Bedloe, at Saratoga, it was the miraculous similarity which existed between yourself and the painting which induced me to accost you, to seek your friendship, and to bring about those arrangements which resulted in my becoming your constant companion.",EAP
id19873,I am not yet fallen so low; my honour is not yet so tarnished.,MWS
id14962,"The curious manuscript record or diary of Wilbur Whateley, delivered to Miskatonic University for translation, had caused much worry and bafflement among the experts in languages both ancient and modern; its very alphabet, notwithstanding a general resemblance to the heavily shaded Arabic used in Mesopotamia, being absolutely unknown to any available authority.",HPL
id05512,"The starry sky, the sea, and every sight afforded by these wonderful regions seem still to have the power of elevating his soul from earth.",MWS
id02547,"The system had its disadvantages, and even its dangers.",EAP
id04926,"A kind of growing horror, of outré and morbid cast, seemed to possess him.",HPL
id04561,"""Then up with you as soon as possible, for it will soon be too dark to see what we are about.""",EAP
id02104,I merely laughed but he seemed quite serious in all that he said.,EAP
id04736,As a child I had not been content with the results promised by the modern professors of natural science.,MWS
id17524,C Fletcher's comedy of the Captain.,MWS
id01404,"Having done this, he issued from his state room, fully dressed, and proceeded to call Mrs. W. from hers.",EAP
id07581,"He knew that I could not have a more kind and attentive nurse than himself; and, firm in the hope he felt of my recovery, he did not doubt that, instead of doing harm, he performed the kindest action that he could towards them.",MWS
id17712,"I did not expect it, either, for I thought I was thoroughly forewarned regarding what the jewellery would turn out to be.",HPL
id12957,Nor has he yet had any difficulty in obtaining tenants.,HPL
id02731,After much toil I found it.,EAP
id00983,"Long and earnestly did I continue the investigation: but the contemptible reward of my industry and perseverance proved to be only a set of false teeth, two pair of hips, an eye, and a bundle of billets doux from Mr. Windenough to my wife.",EAP
id14077,"In relating the circumstances which have led to my confinement within this refuge for the demented, I am aware that my present position will create a natural doubt of the authenticity of my narrative.",HPL
id25003,"The first horrible incident of our acquaintance was the greatest shock I ever experienced, and it is only with reluctance that I repeat it.",HPL
id06848,"Sometimes she remembered that she had suffered keen anguish, when he hesitated in his choice.",MWS
id10377,"One or two strokes of a spade upturned the blade of a large Spanish knife, and, as we dug farther, three or four loose pieces of gold and silver coin came to light.",EAP
id07246,But the thing was now going too far.,MWS
id15768,There was a rift where a part of the substance was folded over.,HPL
id14225,"Combining with taste her remembrance of the edifices which she had seen in the east, and by an effort of genius enduing them with unity of design, she executed the plan which had been sent to the Protector.",MWS
id14152,"I can ill record the flow of language and graceful turns of expression, the wit and easy raillery that gave vigour and influence to his speech.",MWS
id04979,In these various brochures the aim is always satirical; the theme being a description of Lunarian customs as compared with ours.,EAP
id12565,"The memory of that unfortunate king and his companions, the amiable Falkland, the insolent Goring, his queen, and son, gave a peculiar interest to every part of the city which they might be supposed to have inhabited.",MWS
id16247,Are we forever to be doomed to the thousand inconveniences of the balloon?,EAP
id03364,The mathematics afford no more absolute demonstrations than the sentiments of his art yields the artist.,EAP
id16421,"Here it is: ""'A good glass in the bishop's hostel in the devil's seat forty one degrees and thirteen minutes northeast and by north main branch seventh limb east side shoot from the left eye of the death's head a bee line from the tree through the shot fifty feet out.'""",EAP
id20711,"The plain around was interspersed with cemeteries, Turk, Greek, and Armenian, with their growth of cypress trees; and other woods of more cheerful aspect, diversified the scene.",MWS
id14920,"As for the Angel, he evinced his sense of my assault by giving me two or three hard consecutive raps upon the forehead as before.",EAP
id11606,"""Who are you, pray?"" said I, with much dignity, although somewhat puzzled; ""how did you get here?",EAP
id22266,"It follows that the game of chess, in its effects upon mental character, is greatly misunderstood.",EAP
id24744,"His accession to the throne, or rather his usurpation of the sovereignty, a hundred and seventy one years before the coming of Christ; his attempt to plunder the temple of Diana at Ephesus; his implacable hostility to the Jews; his pollution of the Holy of Holies; and his miserable death at Taba, after a tumultuous reign of eleven years, are circumstances of a prominent kind, and therefore more generally noticed by the historians of his time than the impious, dastardly, cruel, silly, and whimsical achievements which make up the sum total of his private life and reputation.",EAP
id23721,"At times he actually did perform marvels of surgery for the soldiers; but his chief delights were of a less public and philanthropic kind, requiring many explanations of sounds which seemed peculiar even amidst that babel of the damned.",HPL
id22626,My wanderings were directed towards the valley of Chamounix.,MWS
id11842,"Corona Borealis, which my friend had appeared to dread, and whose scintillant semicircle of stars must even now be glowing unseen through the measureless abysses of aether.",HPL
id08248,"What we want, we may make about us; and what we don't want, we may sweep away.",HPL
id12910,"One seeks to recall the original beauty of the country, by adapting its means to the surrounding scenery, cultivating trees in harmony with the hills or plain of the neighboring land; detecting and bringing into practice those nice relations of size, proportion, and color which, hid from the common observer, are revealed everywhere to the experienced student of nature.",EAP
id01652,"Interruptions are annoying and should undoubtedly be abolished don't you think so? no reply, I beg you, one person is enough to be speaking at a time.",EAP
id21014,ever hear tell of a shoggoth? . . .,HPL
id24119,The neighborhood is secluded particularly so.,EAP
id11739,"By the fourth evening I attained the base of the mound, which turned out to be much higher than it had appeared from a distance; an intervening valley setting it out in sharper relief from the general surface.",HPL
id23040,"I could hardly believe that so great a good fortune could have befallen me, but when I became assured that my enemy had indeed fled, I clapped my hands for joy and ran down to Clerval.",MWS
id18974,"""Where can he be?"" said little Miss Bas Bleu.",EAP
id07858,"""In that case,"" replied Dupin, opening a drawer, and producing a check book, ""you may as well fill me up a check for the amount mentioned.",EAP
id15808,"At four precisely, therefore, the carriage drew up at the door of the principal inn.",EAP
id19366,"I had begun to dig in the afternoon, because a thunderstorm was brewing, and now that it was dark and the storm had burst above the maniacally thick foliage I was glad.",HPL
id13107,"He had enjoyed my listening to his music, and wished I would come again and not mind his eccentricities.",HPL
id21338,"Instinct guided him in his wriggle through the transom, and in the crawl which followed his jarring thud on the damp ground.",HPL
id05034,"But I was not the witness of his grief, for I was lifeless and did not recover my senses for a long, long time.",MWS
id19875,Between gasps Luther tried to stammer out his tale to Mrs. Corey.,HPL
id08706,"""Lionel, you hear: witness for me: persuade your sister to forgive the injury I have done her; persuade her to be mine.""",MWS
id26229,"He could not, I reflected, be so weak as not to see that the most intricate and remote recess of his hotel would be as open as his commonest closets to the eyes, to the probes, to the gimlets, and to the microscopes of the Prefect.",EAP
id11437,The crowd had departed.,EAP
id26414,Clara and Alfred followed.,MWS
id23885,"Hey? Think the old man's crazy, eh? Wal, Sir, let me tell ye that ain't the wust"" Zadok was really screaming now, and the mad frenzy of his voice disturbed me more than I care to own.",HPL
id21412,"Having done all this in a neat speech, I took leave.",EAP
id06023,"They had not seen it, but had heard such cries from one of their hamlets that they knew a creeping death had come.",HPL
id05579,In the privacy of his bureau he reclined languidly on that ottoman for which he sacrificed his loyalty in outbidding his king the notorious ottoman of Cadet.,EAP
id23352,I cannot very well express to you the effect of this intelligence upon the people.,EAP
id09115,"""Yet how can I expect you to sympathize with me?",MWS
id27081,"We only realised, with the blackest of apprehensions, that the apparently disembodied chatter was beyond a doubt in the Dutch language.",HPL
id18799,"An innocent man is now imprisoned, charged with that crime of which you can point out the perpetrator.""",EAP
id02405,"I pledge you the honor of a gentleman, and of a Frenchman, that we intend you no injury.",EAP
id05889,"Horrors of a nature most stern and most appalling would too frequently obtrude themselves upon my mind, and shake the innermost depths of my soul with the bare supposition of their possibility.",EAP
id11034,"I shall make two divisions: first, Piquant Facts for the Manufacture of Similes, and, second, Piquant Expressions to be introduced as occasion may require.",EAP
id00771,"We never come here at night, and it's only because of his will that we keep it this way.",HPL
id20916,"She became excessively intimate with most of the ladies; and, to my profound astonishment, evinced no equivocal disposition to coquet with the men.",EAP
id04512,"If drowned, being a woman, she might never have sunk; or having sunk, might have reappeared in twenty four hours, or less.",EAP
id01823,"Raymond would follow soon, she said; he had been detained by business.",MWS
id06219,"""One of the most popular pieces of mechanism which we have seen, Is the Magician constructed by M. Maillardet, for the purpose of answering certain given questions.",EAP
id27347,"If I were awake I should like to die, but now it is no matter.",EAP
id25381,As he walked toward the bus I observed his peculiarly shambling gait and saw that his feet were inordinately immense.,HPL
id26976,I would not have believed that any wave could rise so high.,EAP
id08798,Made frequent deposits in small sums.,EAP
id15925,"When I came to the reality, and saw regiments file off to the left far out of sight, fields intervening between the battalions, but a few troops sufficiently near me to observe their motions, I gave up all idea of understanding, even of seeing a battle, but attaching myself to Raymond attended with intense interest to his actions.",MWS
id22673,"We talked often in the night, and in the day, when I chiselled busts of him and carved miniature heads in ivory to immortalise his different expressions.",HPL
id05207,"For some time he rambled on with an almost feverish geniality, when it struck me to ask him how he came by so rare a book as Pigafetta's Regnum Congo.",HPL
id21256,"I would not yield, but to the last gasp resolutely defended my dear ones against sorrow and pain; and if I were vanquished at last, it should not be ingloriously.",MWS
id07819,"No guilt, no mischief, no malignity, no misery, can be found comparable to mine.",MWS
id21789,"Hidden behind heavy curtains stood the two unfinished figures of Tyché, little touched of late by the sick man and his faithful attendant.",HPL
id26155,She welcomed me with the greatest affection.,MWS
id06908,In the meantime he told me that my friend had certainly not many hours to live.,MWS
id19117,"We quitted London on the th of March and remained a few days at Windsor, rambling in its beautiful forest.",MWS
id20640,"He became cheerful, as he thought of this, and soberly and resolutely marked out the line of conduct he would adopt.",MWS
id06550,Men usually grow base by degrees.,EAP
id13105,"He spoke much of the sciences of electricity and psychology and gave exhibitions of power which sent his spectators away speechless, yet which swelled his fame to exceeding magnitude.",HPL
id00379,"How exceedingly strange that the altar of Laughter should have survived all the others But in the present instance,"" he resumed, with a singular alteration of voice and manner, ""I have no right to be merry at your expense.",EAP
id17440,It came from the room into which Elizabeth had retired.,MWS
id02596,"It was just such a slip, indeed, as might have been chosen for a memorandum for a record of something to be long remembered and carefully preserved.""",EAP
id18100,"He is easy easy as an old glove, or the damsels of ancient Baiae.",EAP
id01249,"They have made a Latin hymn upon the valor of the king, and are singing it as they go: Mille, mille, mille, Mille, mille, mille, Decollavimus, unus homo Mille, mille, mille, mille, decollavimus Mille, mille, mille, Vivat qui mille mille occidit Tantum vini habet nemo Quantum sanguinis effudit Which may be thus paraphrased: A thousand, a thousand, a thousand, A thousand, a thousand, a thousand, We, with one warrior, have slain A thousand, a thousand, a thousand, a thousand.",EAP
id13288,"Perhaps he did not know, or perhaps he knew and did not dare to tell.",HPL
id02878,The Countess of Windsor was by nature full of energetic feeling; but she had very seldom in her life permitted the concentrated emotions of her heart to shew themselves on her features.,MWS
id03222,"I would in vain attempt to portray the majesty, the quiet ease, of her demeanor, or the incomprehensible lightness and elasticity of her footfall.",EAP
id18879,"It has since been to me a matter of deep regret that an awkward accident, at this time, occasioned me the loss of my little family of cats, and deprived me of the insight into this matter which a continued experiment might have afforded.",EAP
id07162,"If you will comply with my conditions, I will leave them and you at peace; but if you refuse, I will glut the maw of death, until it be satiated with the blood of your remaining friends.""",MWS
id18409,"True, she looked forward to another life; true, the burning spirit of love seemed to her unextinguishable throughout eternity.",MWS
id01286,"Of his vast collection of strange, rare books on forbidden subjects I have read all that are written in the languages of which I am master; but these are few as compared with those in languages I cannot understand.",HPL
id09351,"I now felt the floor of this lower room giving as that of the upper chamber had done, and once a crashing above had been followed by the fall past the west window of something which must have been the cupola.",HPL
id27409,"""My brother,"" she cried, ""protector of my childhood, dear, most dear Lionel, my fate hangs by a thread.",MWS
id15516,"Professor Krempe often asked me, with a sly smile, how Cornelius Agrippa went on, whilst M. Waldman expressed the most heartfelt exultation in my progress.",MWS
id03927,"The theatres were kept open; every place of public resort was frequented; though he endeavoured so to modify them, as might best quiet the agitation of the spectators, and at the same time prevent a reaction of misery when the excitement was over.",MWS
id12500,The panes here were scarlet a deep blood color.,EAP
id09882,"He had endeavoured to persuade his father to permit him to accompany me and to become my fellow student, but in vain.",MWS
id09236,"At length the valley pained me through its memories of Eleonora, and I left it for ever for the vanities and the turbulent triumphs of the world.",EAP
id19459,"She figured to herself their life in the Greek isle he had selected for their retreat; her task of soothing him; her cares for the beauteous Clara, her rides in his company, her dedication of herself to his consolation.",MWS
id18895,"Dreading to find my faint, and, as it seemed, my last hope frustrated, I so far elevated my head as to obtain a distinct view of my breast.",EAP
id10348,Shouts from a thousand voices now rent the air the cry of applause became universal.,MWS
id03114,"The old man saw it, and stopped whispering even before my expression of horror made it necessary; saw it and glanced quickly toward the floor of the room he had left an hour before.",HPL
id21710,"One morning, in cool blood, I slipped a noose about its neck and hung it to the limb of a tree; hung it with the tears streaming from my eyes, and with the bitterest remorse at my heart; hung it because I knew that it had loved me, and because I felt it had given me no reason of offence; hung it because I knew that in so doing I was committing a sin a deadly sin that would so jeopardize my immortal soul as to place it if such a thing wore possible even beyond the reach of the infinite mercy of the Most Merciful and Most Terrible God.",EAP
id17801,"There was one man, he continued, who wished to alter all this, and bring us back to our days of impotence and contention: one man, who would dare arrogate the honour which was due to all who claimed England as their birthplace, and set his name and style above the name and style of his country.",MWS
id17870,"I foresee that the plan which you mark out in your letter will not endure long; but you are mistress of yourself, and it is my sincere wish to contribute as far as you will permit me to your happiness.""",MWS
id16628,"We, a commercial people, were obliged to bring such schemes under consideration; and the question of contagion became matter of earnest disquisition.",MWS
id06026,"I rejoice, my dear friend, that we live in an age so enlightened that no such a thing as an individual is supposed to exist.",EAP
id05817,"There was another circumstance, too, which interested me much.",EAP
id00024,Wyatt's party arrived in about ten minutes after myself.,EAP
id05418,"At all events, with my knapsack for a pillow, and my hound as a sentry, a bivouac in the open air was just the thing which would have amused me.",EAP
id16501,"."" and some thought a crashing sound followed the breaking off of the exclamation.",HPL
id14514,"My view was bounded only by the horizon except on one side where a distant wood made a black spot on the heath, that every where else stretched out its faint hues as far as the eye could reach, wide and very desolate.",MWS
id03850,"Now I have already said that Madame Eugenie Lalande that is to say, Simpson spoke the English language but very little better than she wrote it, and for this reason she very properly never attempted to speak it upon ordinary occasions.",EAP
